客户号,客户全称,开户日期,销户日期,手机,证件号码,状态,备注,地址,交易中心,客户证券现货内部资金账户,客户证券现货内部资金账户开户日期,法人,客户性质,客户类,开户操作员,销户操作员,客户反洗钱风险等级
09262058,天津市汇福商贸有限公司,20090924,,,72751447-5,只可平仓,,天津市河西区天津市河西区解放南路349号盈海公寓A座3楼,第三交易中心,,,凌建华,法人,0801______[天津营业部-公共维护-__-__-__],gsd4,,
09262199,天津冶金轧一钢铁集团有限公司,20091210,,13312098880,73282683-6,只可平仓,,天津市西青区王稳庄镇政府北,第三交易中心,,,孟照勤,法人,0801______[天津营业部-公共维护-__-__-__],zlm2,,
09519036,山西欧海商贸有限公司,20091210,,13453159460,73931001-5,只可平仓,,中国山西省太原市旱西门街40号,第三交易中心,,,高文变,法人,010616____[山西分公司-营销部-营销陈阜东-__-__],zcb3,,
09522222,海伦市鑫宇粮油有限公司,20090421,20100324,,232304100006533,销户,2009.4.21,黑龙江省海伦市东林乡战胜村6组,第三交易中心,,,刘海军,法人,350437____[大连分公司-后台-大连后台路成立-__-__],gy3,gjx3,
09526026,山西宝佳钢铁工贸有限公司,20091222,20180802,18603412511,75154470-3,销户,,中国山西省太原市奇天瑞钢材市场北A区9号,第三交易中心,,,吕海红,法人,400112____[机构业务二部-公共维护-总部后台杨永红-__-__],zyf2,xn1,
09562010,绍兴县圣辉轻化有限公司,20090828,,13706757772,3306212001759,只可平仓,,浙江省绍兴市浙江省绍兴县钱清原料市场一区1207号，1209号,第三交易中心,,,孙观尧,法人,0801______[天津营业部-公共维护-__-__-__],gsd3,,
0A888,龙胜达公司,,20091029,,1401001300845,销户,2002.10.14转入00,中国,第三交易中心,,,,法人,020224____[运城营业部-居间-居间杨东华-__-__],,bgm,
10112003,宣化信元物资有限公司,20100421,20160408,13323233208,75025161-8,销户,,河北省张家口市宣化区河沿街15号,第三交易中心,,,李海清,法人,0302ea____[大同营业部-居间-大同居间赵斌-__-__],wyl2,wjn1,
10115988,运城市雨露贸易有限公司,20101210,,18603448888,67015789-1,只可平仓,20101210,山西省运城市盐湖区学院路,第三交易中心,,,张俊虎,法人,02069094__[运城营业部-营销部-营销一部-运城赵江-__],yt2,,
10126031,燕园创新（北京）投资管理有限公司,20100709,,15601001232,55688327-5,只可平仓,,中国北京市海淀区北二街8号7层810,第三交易中心,,,孙飞,法人,10________[总部公共部-__-__-__-__],jxl2,,
10129078,上海才云贸易有限公司,20101110,,13917055396,55295203-4,只可平仓,,中国上海市浦东新区芳甸路1088号,第三交易中心,,,刘爱兵,法人,1001______[总部公共部-公共维护-__-__-__],wcy,,
10162116,天津仁方钢铁有限公司,20100412,,13752666288,120110000002713,只可平仓,20100412,天津市东丽区津塘二线铁闽钢市A10-18,第三交易中心,,,叶建,法人,0801______[天津营业部-公共维护-__-__-__],zlm2,,
10162118,天津兆润达钢管有限公司,20100412,,15022683898,120222000048876,只可平仓,20100412,天津市东丽区津塘二线铁闽钢市A7-363,第三交易中心,,,肖家桂,法人,0801______[天津营业部-公共维护-__-__-__],zlm2,,
10215280,山西华晋纺织印染有限公司,20101110,,13903597618,72594318-8,只可平仓,20101111,山西省运城市临猗县城南大街339号,第三交易中心,,,荆英杰,法人,0201______[运城营业部-公共维护-__-__-__],yt2,,
10215588,山西恒晟纺织有限公司,20101013,20120813,,1427241000343,销户,,山西省运城市临猗县南内环西路1478号,第三交易中心,,,郭长胜,法人,0201______[运城营业部-公共维护-__-__-__],yt2,gjx3,
10219001,太原秋冶贸易有限公司,20100308,20130902,,775164510,销户,,山西省太原市杏花岭区新建北路358号宇泓大厦A702室,第三交易中心,,,卫新阳,法人,0102ta____[山西分公司-居间-山西分居间宋茹梅-__-__],gsd3,xn1,
10220888,梧州市同润铜业有限公司,20100816,,13807745141,55226947-0,只可平仓,,中国广西壮族自治区梧州市工业园区工业大道6号,第三交易中心,,,邵子阳,法人,3001______[南宁营业部-公共维护-__-__-__],dhm2,,
10251066,河南华韵控股集团有限公司,20100308,20181008,13303928998,67805076-5,销户,,中国河南省鹤壁市山城区春雷路南段东建行电力支行办公楼,第三交易中心,,,吴保印,法人,2002zx____[郑州营业部-居间-郑州居间牛德清-__-__],zll2,xn1,
10251503,洛阳华龙旅游汽车有限公司,20100928,20181112,,79193474-9,销户,,中国河南省洛阳市老城区环城南路19号,第三交易中心,,,周全福,法人,2001______[郑州营业部-公共维护-__-__-__],zll2,xn1,
10251666,郑州长运物资有限公司,20101227,,15890147119,76312140-9,只可平仓,,中国河南省郑州市管城区十八里河镇大王庄村2号,第三交易中心,,,彭春霞,法人,2001______[郑州营业部-公共维护-__-__-__],zll2,,
10251672,郑州德亿重工机器制造有限公司,20101230,,13937172576,17050138-5,只可平仓,,中国河南省郑州市未来大道71号院,第三交易中心,,,卫振中,法人,2001______[郑州营业部-公共维护-__-__-__],zll2,,
10262079,天津蔚铭工贸有限公司,20100601,,,76430670-4,只可平仓,,天津市河东区十一经路81号天星河畔广场2409,第三交易中心,,,赵莉云,法人,0801______[天津营业部-公共维护-__-__-__],zlm2,,
10319001,上海京宇实业发展有限公司,20100928,,13934597510,672735309,只可平仓,,上海市奉贤区庄行镇南亭公路1176号,第三交易中心,,,杨定基,法人,0103______[山西分公司-证券-__-__-__],yzj2,,
10326002,上海湾东贸易商行,20100824,,13811558553,68102225-5,只可平仓,,中国北京市朝阳区朝阳公园西里11号京达公寓10#18E,第三交易中心,,,王紫靖,法人,4003______[机构业务二部-证券-__-__-__],zcb3,,
10326006,北京宽谷德金投资发展中心（有限合伙）,20101122,,13911136308,56036244-8,只可平仓,,北京市朝阳区东三环北路38号院3号楼6层704,第三交易中心,,,谢叶飞,法人,4003______[机构业务二部-证券-__-__-__],mcb2,,
10351600,河南通达电缆股份有限公司,20101122,20120717,13703798383,X1482884-5,销户,,中国河南省洛阳市偃师市史家湾工业区,第三交易中心,,,史万福,法人,2003______[郑州营业部-证券-__-__-__],zll2,xn1,
10519021,山西物产金属材料有限公司,20100810,20140522,13994206432,701132321,销户,,山西省太原市长风街11号,第三交易中心,,,郭有文,法人,010480____[山西分公司-后台-总部后台陈丽萍-__-__],gsd3,xn1,
10523019,包头市方园羊绒制品有限责任公司,20100630,,13947262288,72011605-2,只可平仓,,内蒙古自治区包头市稀土高新区稀土路29号,第三交易中心,,,乔鑫,法人,1606b2____[包头营业部-营销部-营销张伟-__-__],cf1,,
10523021,鄂尔多斯市万福兴商贸有限责任公司,20100728,,13947700388,55546057-X,只可平仓,,内蒙古自治区鄂尔多斯市东胜区郝家圪卜福宝建材市场内,第三交易中心,,,刘福厚,法人,1601______[包头营业部-公共维护-__-__-__],cf1,,
11119531,太原市博尔贸易有限公司,20110628,,13903465483,561331467,只可平仓,20110628,山西省太原市万柏林区滨河物贸中心东二排南4、5号,第三交易中心,,,赵德永,法人,0101______[山西分公司-公共维护-__-__-__],yzj2,,
11119532,太原金工工矿设备制造有限公司,20110629,20180814,13593148722,56134011-X,销户,,中国山西省太原市太原经济技术开发区南畔社区268号,第三交易中心,,,金晋生,法人,0101______[山西分公司-公共维护-__-__-__],gxj2,xn1,
11119533,山西双和贸易有限公司,20110629,20120627,13834237358,785808439,销户,20110629,山西省太原市小店区坞城北街42号,第三交易中心,,,王秀梅,法人,0101______[山西分公司-公共维护-__-__-__],yzj2,xn1,
11119535,山西星际酒店用品有限公司,20110701,20180903,13931466921,672331646,销户,,山西省太原市杏花岭区小沟坡东街16号,第三交易中心,,,杨志尧,法人,0101______[山西分公司-公共维护-__-__-__],yzj2,xn1,
11120020,广西安正工贸有限责任公司,20111025,20210908,13978770737,79431190-X,销户,,广西壮族自治区南宁市星光大道223号A-2栋2单元507号房,第三交易中心,,,陈智安,法人,3001______[南宁营业部-公共维护-__-__-__],wz003,dhz,
11128108,佛山市金泽强贸易有限公司,20110517,20200522,13825588888,71227044-7,销户,,中国广东省佛山市顺德区大良新滘工业区三队商铺,第三交易中心,,,郭志强,法人,4101____23[广东分公司-公共维护-__-__-广州归属营业部],v6s9010001,dhz,
11128360,广东和诚创富投资发展有限公司,20110808,20180802,13480218751,69357043-5,销户,,中国广东省广州市天河区盈彩街2号之三701房,第三交易中心,,,龙吉跃,法人,2002zr__23[郑州营业部-居间-1-__-广州归属营业部],zll2,xn1,
11129015,上海楚迈实业有限公司,20110301,,13761383398,68550242-4,只可平仓,,中国上海市宝山区友谊路1588弄2号805室,第三交易中心,,,李明,法人,1001______[总部公共部-公共维护-__-__-__],jxl2,,
11151599,河南金牡丹投资有限公司,20110926,20180807,13523420009,57922696-4,销户,,中国河南省郑州市金水路218号楼1单元9-903,第三交易中心,,,张烨,法人,2006__58__[郑州营业部-营销部-__-营销万玉霞-__],zyf2,xn1,
11315001,洛阳南琼商贸有限公司,20110705,,,67805106-3,只可平仓,,河南省洛阳市西工区春都路聚客隆陶瓷城一排2栋3号,第三交易中心,,,王育楠,法人,0203______[运城营业部-证券-__-__-__],yt2,,
11351611,洛阳市致力实业有限公司,20111118,,15637982777,61482891-0,只可平仓,,中国河南省洛阳市偃师市府店镇西口孜村,第三交易中心,,,王志宏,法人,2001______[郑州营业部-公共维护-__-__-__],zll2,,
11386002,海南舜邦金属贸易有限公司,20110107,,13928685123,69890214-4,只可平仓,20110110,海南省儋州市洋浦保税港区贸易物流大厦310房,第三交易中心,,,陈炜东,法人,6503______[广州金穗路证券营业部-证券-__-__-__],801,,
11518002,太原市万柏林区阿祥家厨五金配件经销部,20110622,20130729,13303516402,L25554109,销户,20110620,山西省太原市万柏林区和平装饰家园A区13-1号,第三交易中心,,,温芬,法人,0104a8____[山西分公司-后台-山西分公司后台王武珍-__-__],gsd3,wjn1,
11519511,太原市晋太行物资供应中心二部,20110530,,13603589623,L37279765,只可平仓,,山西省太原市万柏林区滨河物贸中心东四排南18号,第三交易中心,,,刘变莲,法人,010616____[山西分公司-营销部-营销陈阜东-__-__],yzj2,,
11519588,山西金水桥智能科技有限公司,20111121,20180907,13015340940,77251517-8,销户,,中国山西省太原市万柏林区千峰南路大王小区北区9幢402号,第三交易中心,,,冯翠仙,法人,010141____[山西分公司-公共维护-总部后台冯莉-__-__],gxj2,xn1,
11522918,哈尔滨精膳坊米业有限公司,20110113,,13804620578,67695887-6,只可平仓,,黑龙江省哈尔滨市木兰县木兰镇建设街二委十组,第三交易中心,,,于颖,法人,3504d2____[大连分公司-后台-大连后台彭吉祥-__-__],zyh2,,
11819,山西兆丰铝冶有限公司,,20080527,,,销户,2007.12.7切结,中国,第三交易中心,,,,法人,0401______[阳泉营业部-公共维护-__-__-__],,lrh3,
12126046,北京国宏金汇资产管理中心（有限合伙）,20120702,,13301160175,59068303-1,只可平仓,,北京市西城区后海南沿前井胡同7号,第三交易中心,,,李斌,法人,400690ca__[机构业务二部-营销部-营销一部-北京营销杨玫-__],mcb2,,
12128035,广州市天高有限公司,20121123,,13802909951,61863299-0,只可平仓,,中国广东省广州市天河区天河北路689号光大银行大厦16楼C1、C4、B1、B2、D1房,第三交易中心,,,李佳明,法人,4101____23[广东分公司-公共维护-__-__-广州归属营业部],zll2,,
12128300,佛山市广赢金属有限公司,20120227,20180820,13536631070,79933860-X,销户,,广东省佛山市南海区大沥太平高尔夫路太平工业区,第三交易中心,,,何新娥,法人,4101______[广东分公司-公共维护-__-__-__],zx,xn1,
12128301,佛山市南海仁昌金属有限公司,20120228,20180810,13794069288,76842962-1,销户,20120228,广东省佛山市南海区官窑永和官西村孙土岗,第三交易中心,,,何开英,法人,4101______[广东分公司-公共维护-__-__-__],zx,xn1,
12326001,北京恒介工程咨询有限公司,20120417,20151102,15811279330,78899920-X,销户,,北京市朝阳区高碑店乡高井传媒文化园8号南广场,第三交易中心,,,徐洪钰,法人,4004cn____[机构业务二部-后台-总部后台刘鹤辉-__-__],mcb2,xn1,
12381030,南阳天骄棉业有限公司,20120913,,13723000976,75226336-4,只可平仓,,河南省南阳市宛城区长江路中段,第三交易中心,,,蔡士闪,法人,6303______[南阳仲景南路证券营业部-证券-__-__-__],1201,,
12510001,湖北银丰棉花股份有限公司,20120615,20130724,,76413110-7,销户,,湖北省武汉市江岸区青岛路7号银丰大厦4038交易部,第三交易中心,,,江新学,法人,1001______[总部公共部-公共维护-__-__-__],gsd3,xn1,
12510006,上海生沁投资管理合伙企业(有限合伙),20121128,,13738197979,59162358-3,只可平仓,,中国上海市金山区张堰镇松金公路2758号1幢A2088室,第三交易中心,,,万新星,法人,1001______[总部公共部-公共维护-__-__-__],jxl2,,
12510008,中农集团通用化工有限公司,20120817,20210319,13911751217,55857935-7,销户,,中国北京市西城区宣武门外大街甲1号,第三交易中心,,,郭妍,法人,1004cn____[总部公共部-后台-总部后台刘鹤辉-__-__],v6s9010002,dhz,
12510016,中农集团通用化工(天津)有限公司,20121129,20210319,13911751217,59290531-2,销户,,中国北京市西城区宣武门外大街甲1号C座14层020,第三交易中心,,,李智勇,法人,1004cn____[总部公共部-后台-总部后台刘鹤辉-__-__],v6s9010002,dhz,
12523008,包头市永安隆物贸有限责任公司,20120330,,13904722386,24052465-5,只可平仓,,内蒙古自治区包头市九原区白音席勒办事处包白公路1.5公里西侧,第三交易中心,,,侯永和,法人,1606b2____[包头营业部-营销部-营销张伟-__-__],cf1,,
12523009,内蒙古中钢物资有限公司,20120330,,15904721889,75666210-0,只可平仓,,内蒙古自治区包头市东河区木材公司院内,第三交易中心,,,郑建炳,法人,1606b2____[包头营业部-营销部-营销张伟-__-__],cf1,,
12523011,包头市鸿鹿商贸有限责任公司,20120628,20180716,13224729957,793642387,销户,,内蒙古自治区包头市东河区胜利路132号,第三交易中心,,,赵林龙,法人,1606b2____[包头营业部-营销部-营销张伟-__-__],cf1,xn1,
12523013,包头市亿晟贸易有限责任公司,20121226,20150420,13664842229,69007247-3,销户,,内蒙古自治区包头市青山区110国道726公里处,第三交易中心,,,王文斌,法人,1606b2____[包头营业部-营销部-营销张伟-__-__],cf1,xn1,
12523015,包头市大和物流有限公司,20121231,20141126,13848624188,56122723X,销户,,内蒙古自治区包头市九原区建设路中段南侧,第三交易中心,,,段成宝,法人,1606b2____[包头营业部-营销部-营销张伟-__-__],cf1,xn1,
12523016,包头市鼎信钢铁贸易有限公司,20121231,20180718,13804725883,699485653,销户,,内蒙古自治区包头市东河区木材公司院内,第三交易中心,,,王晓军,法人,1606b2____[包头营业部-营销部-营销张伟-__-__],cf1,xn1,
12626005,河南省平顶山泓利煤焦有限公司,20121102,,15003757817,72864583-X,只可平仓,,河南省平顶山市新华区矿工路与体育路交叉口,第三交易中心,,,吕建华,法人,4004cn____[机构业务二部-后台-总部后台刘鹤辉-__-__],mcb2,,
12628001,广州鑫源恒业电力线路器材股份有限公司,20120621,,13802804539,73156009-5,只可平仓,,广东省广州市增城新塘镇永和陂头村石虎山（土名）,第三交易中心,,,文小玲,法人,410690gg__[广东分公司-营销部-营销一部-广州黄志锋-__],zx,,
12628008,大成基金管理有限公司,20130114,20170601,13925292191,71092433-9,销户,,广东省深圳市福田区深南大道7088号招商银行大厦32层,第三交易中心,,,张树忠,法人,4104cn____[广东分公司-后台-总部后台刘鹤辉-__-__],yj1,xn1,
12651668,河南通达电缆股份有限公司,20120719,20180727,13383876888,X1482884-5,销户,,中国河南省洛阳市偃师市史家湾工业区,第三交易中心,,,史万福,法人,2001______[郑州营业部-公共维护-__-__-__],zll2,xn1,
13100,大同市睿和贸易有限责任公司,20080129,20091125,13100024946,,销户,09.11.25销户,山西省大同市北大街宏业楼二层,第三交易中心,,,王文权,法人,0301______[大同营业部-公共维护-__-__-__],gjx3,fry3,
13112006,大同市金盛咨询服务有限责任公司,20130304,,13403520488,58850193-X,只可平仓,,山西省大同市城区操场城街甲6号美好家园洪泰大厦604，605室,第三交易中心,,,陈亚宁,法人,0302ea____[大同营业部-居间-大同居间赵斌-__-__],wyl2,,
13119001,山西晋源发商贸有限公司,20130107,,13546453430,79423875-7,只可平仓,,中国山西省太原市高新区长治路251号1#1015-1016,第三交易中心,,,姚文飞,法人,01069046__[山西分公司-营销部-营销一部-太原侯方团队-__],zcb3,,
13128005,广东华粮投资发展有限公司,20130425,20180720,13580586645,06113416-8,销户,,广东省广州市天河区体育西横路体育西横街148号101房,第三交易中心,,,云勇,法人,410690gj__[广东分公司-营销部-营销一部-广州营销李光华-__],zx,xn1,
13223003,包头市博元伟业贸易有限公司,20130626,,15149336472,690062494,只可平仓,,内蒙古自治区包头市青山区通港钢材市场B区5号,第三交易中心,,,田伟,法人,1601______[包头营业部-公共维护-__-__-__],cf1,,
13251076,洛阳国舰齿轮传动有限公司,20130625,20180802,18238810345,57497716-0,销户,,中国河南省洛阳市涧西区西出口先进制造业集聚区,第三交易中心,,,刘铁拴,法人,2001______[郑州营业部-公共维护-__-__-__],zll2,xn1,
13301066,郑州市钻石精密制造有限公司,20130614,20200623,15038329121,26812157-5,销户,,中国河南省郑州市经济开发区第七大街198号,第三交易中心,,,赵秀珍,法人,6803______[河南分公司（证券）-证券-__-__-__],701,dhz,
13301068,河南五六金属材料有限公司,20130617,,15038329121,593402303,只可平仓,,河南省郑州市经济技术开发区第七大街198号三层302,第三交易中心,,,张鹏飞,法人,6803______[河南分公司（证券）-证券-__-__-__],701,,
13310005,民生证券股份有限公司,20130709,,,17000168-X,正常,,中国北京市东城区建国门内大街28号民生金融中心A座16层-18层,第三交易中心,,,,法人,1003______[总部公共部-证券-__-__-__],ywf,,
13319001,太原市通阳科技工程有限公司,20130627,20150928,13593181995,733993265,销户,,山西省太原市高新区长治路249号511室,第三交易中心,,,李增禄,法人,0103______[山西分公司-证券-__-__-__],gxj2,wjn1,
13319002,山西辰隆兴盛贸易有限公司,20130628,,13485363033,590882727,只可平仓,,山西省太原市小店区寇庄西路58号1幢B段13号,第三交易中心,,,杨韡,法人,0103______[山西分公司-证券-__-__-__],gxj2,,
13346005,洪湖市洪湖浪米业有限责任公司,20130909,20181112,13627167799,74463804-X,销户,,中国湖北省荆州市洪湖市新堤文泉大道大兴工业园,第三交易中心,,,刘志祥,法人,9303______[武汉关山大道证券营业部-证券-__-__-__],4601,xn1,
13383032,上海八色贸易有限公司,20130627,,15021900988,68736210-3,只可平仓,,上海市青浦区金泽镇西虹街349号H区303室,第三交易中心,,,何宏华,法人,7103______[新乡和平路证券营业部-证券-__-__-__],1101,,
13515001,山西飞宇建材有限公司,20130319,,15135049766,715918042,只可平仓,,山西省运城市运风高速公路口西1000米处,第三交易中心,,,李群英,法人,0201______[运城营业部-公共维护-__-__-__],yt2,,
13515002,运城市南国风商贸有限公司,20130319,,13008000121,056292129,只可平仓,,山西省运城市运风高速公路口西（飞宇建材公司院内）,第三交易中心,,,吕军,法人,0201______[运城营业部-公共维护-__-__-__],yt2,,
13519018,山西华茂纺织有限公司,20131114,20180907,13903448628,74106765-9,销户,,中国山西省晋中市榆次区张庆乡张庆村,第三交易中心,,,李晋峰,法人,010631____[山西分公司-营销部-营销武建峰-__-__],gxj2,xn1,
13519020,山西邦泰塑料制品有限公司,20131227,20180815,15536396666,792243341,销户,,山西省晋中市祁县昭馀镇丰泽村,第三交易中心,,,杨东亮,法人,010631____[山西分公司-营销部-营销武建峰-__-__],gxj2,xn1,
13520008,广西中协工贸有限公司,20130219,,15676198180,59842697-X,只可平仓,,广西壮族自治区南宁市西乡塘区秀灵路东三里3号,第三交易中心,,,覃雪蔚,法人,3004nc____[南宁营业部-后台-南宁后台谢显锋-__-__],wz003,,
13523001,包头鑫瀚商贸有限公司,20130329,,13604723876,570610556,只可平仓,,内蒙古自治区包头市青山区赵家营村东大门24号底店,第三交易中心,,,金珍,法人,1606b2____[包头营业部-营销部-营销张伟-__-__],cf1,,
13526003,北京中毅泓投资管理咨询有限公司,20131025,,18810120505,58907155-6,只可平仓,,中国北京市朝阳区北辰西路8号院2号楼A1236,第三交易中心,,,吕建华,法人,4004cn____[机构业务二部-后台-总部后台刘鹤辉-__-__],zyf2,,
13564003,北京志海起航科技有限责任公司,20130619,,13426198304,059252886,只可平仓,,北京市朝阳区东三环中路16号1701-1,第三交易中心,,,李桂荣,法人,1001______[总部公共部-公共维护-__-__-__],cqw,,
13623002,包头市宏玲物资有限责任公司,20130329,20180824,13848263632,736103109,销户,,内蒙古自治区包头市稀土高新区银福钢材市场,第三交易中心,,,贾玉玲,法人,1601______[包头营业部-公共维护-__-__-__],cf1,xn1,
14151033,洛阳伟业轧钢有限公司,20140625,,18638851801,75710133-X,只可平仓,,中国河南省洛阳市洛龙区关林大道8号,第三交易中心,,,张继卫,法人,200690z5__[郑州营业部-营销部-营销一部-郑州刘译行开发-__],zll2,,
14161003,重庆商社化工有限公司,20140731,20180824,13983882725,75925194-8,销户,,中国重庆市渝北区北部新区星光大道62号（海王星科技大厦D区6楼1、3号）,第三交易中心,,,庞庆军,法人,2401______[昆明营业部-公共维护-__-__-__],lq,xn1,
14161007,财通基金管理有限公司,20141112,20170601,,57743381-2,销户,,上海市浦东新区银城中路68号时代金融中心41楼财通基金管理有限公司,第三交易中心,,,,法人,1001______[总部公共部-公共维护-__-__-__],cqw,xn1,
14221058,北京瑞达利远投资管理有限公司,20141014,,18510185557,08287944-1,冻结,,中国北京市海淀区巴沟南路35号院A座,第三交易中心,,,段岗强,法人,1202so____[唐山营业部-居间-唐山居间张会敏-__-__],yy2,,
14222888,大连远东企业集团有限公司,20140328,20180802,15840680821,74787016-X,销户,,辽宁省大连市干井子区大连湾街道李家村张屯,第三交易中心,,,齐树民,法人,3501______[大连分公司-公共维护-__-__-__],zyh2,xn1,
14224010,昆明新高深橡胶有限公司,20141103,,13678782888,30969148-7,只可平仓,,中国云南省昆明市嵩明县杨林开发区天创路5号,第三交易中心,,,王江平,法人,2401______[昆明营业部-公共维护-__-__-__],zyf2,,
14260005,金鹰基金管理有限公司,20140117,20151014,,74448348-X,销户,,广东省广州市天河区体育西路189号城建大厦22、23楼,第三交易中心,,,,法人,1001______[总部公共部-公共维护-__-__-__],cqw,xn1,
14260016,北京中金安泰商业服务有限公司,20140508,20151230,13911621550,79067228-1,销户,,中国北京市东城区交道口北头条76号1568房间,第三交易中心,,,高静,法人,1001______[总部公共部-公共维护-__-__-__],zyf2,xn1,
14261010,昆明高深国际商务有限责任公司,20140610,,13888850347,79519491-X,只可平仓,,中国云南省昆明市盘龙区金江小区K栋,第三交易中心,,,王珍胜,法人,2401______[昆明营业部-公共维护-__-__-__],lq,,
14261016,德宏华源贸易有限公司,20140722,20160316,13708791223,05947365-4,销户,,中国云南省德宏傣族景颇族自治州芒市工业园区遮放片区,第三交易中心,,,陈联通,法人,2401______[昆明营业部-公共维护-__-__-__],lq,wjn1,
14262001,天津市雲昂贸易有限公司,20140422,,13652019033,57514991-4,只可平仓,,天津市塘沽区滨海新区塘沽水景花都1-s8,第三交易中心,,,王辉,法人,0801______[天津营业部-公共维护-__-__-__],lyf1,,
14262007,天津东方浩越进出口贸易有限公司,20140619,,13622169101,69068692-6,只可平仓,,天津市塘沽区生态城汉北路7号增75号,第三交易中心,,,史立松,法人,0801______[天津营业部-公共维护-__-__-__],lyf1,,
14262009,天津宝港煤炭经销有限公司,20140625,,13902157418,57233184-1,只可平仓,,天津市宝坻区宝坻塑料制品工业区管理委员会院内,第三交易中心,,,田增刚,法人,0801______[天津营业部-公共维护-__-__-__],lyf1,,
14262018,天津联迅机电设备有限公司,20140630,,13820587270,60053516-4,只可平仓,,天津市河西区解放南路南头,第三交易中心,,,孙国强,法人,0801______[天津营业部-公共维护-__-__-__],lyf1,,
14262888,农水华滨（天津）国际贸易有限公司,20140428,,13803407553,59874612-1,只可平仓,,天津市塘沽区东疆保税港区亚洲路6975号金融贸易中心南区1栋1门5013室-29,第三交易中心,,,刘敏,法人,0801______[天津营业部-公共维护-__-__-__],lyf1,,
